# Simulation 1 (Up to date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# 77 data points written for 44 variables.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Propellant mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CG location (cm),Mach number (?),Reynolds number (?),Thrust (N),Drag force (N),Drag coefficient (?),Axial drag coefficient (?),Friction drag coefficient (?),Pressure drag coefficient (?),Base drag coefficient (?),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event LAUNCH occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Event IGNITION occurred at t=0 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,-8.9221,0,8.9221,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,136.8,0.79875,0.016254,7.26E-05,52.32,0.0060811,118945,0.11902,0,0.49333,0,0.3717,0.0016216,0.12,0,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.001633
0.01,0,0,-6.8244,0,6.8244,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,136.8,0.79875,0.016254,7.26E-05,52.32,0.0061001,119315,0.406,0,0.49303,0,0.37141,0.0016216,0.12,0,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0021476
0.02,0,0,-4.332,0,4.332,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,136.8,0.79464,0.016254,7.26E-05,52.32,0.006119,119686,0.74693,0,0.49275,0,0.37112,0.0016216,0.12,0,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0025112
0.03,0,0,-1.0779,0,1.0779,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,136.79,0.78574,0.016254,7.26E-05,52.32,0.006138,120056,1.192,0,0.49246,0,0.37083,0.0016216,0.12,0,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.002941
0.04,0,0,2.7271,0,2.7271,0,0,0,0,0,0,28.61,-80.6,9.7922,90,0,0,0,136.77,0.77227,0.016254,7.26E-05,52.321,0.0061569,120427,1.7123,0,0.49217,0,0.37054,0.0016216,0.12,0,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.003533
0.05,1.36E-04,0.027287,7.2857,0.027287,7.2857,0,0,0,0,0,0,28.61,-80.6,9.7922,89.256,0,0,0,136.75,0.75153,0.016254,7.26E-05,52.321,0.0061763,120807,2.3355,1.43E-08,0.49188,2.68E-06,0.37025,0.0016216,0.12,3.49E-06,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0041614
0.06,7.74E-04,0.10017,12.532,0.10017,12.532,0,0,0,0,0,0,28.61,-80.6,9.7922,87.311,0,0,0,136.72,0.72263,0.016254,7.26E-05,52.322,0.0062738,122713,3.0523,6.80E-07,0.49043,1.24E-04,0.3688,0.0016216,0.12001,1.28E-05,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0047579
0.07,0.0024023,0.22555,17.565,0.22555,17.565,0,0,0,0,0,0,28.61,-80.6,9.7922,84.05,0,0,0,136.69,0.68508,0.016254,7.26E-05,52.323,0.0063923,125031,3.7394,7.36E-06,0.4887,0.0012919,0.36708,0.0016216,0.12001,2.89E-05,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0054363
0.08,0.0055363,0.40128,23.57,0.40128,23.57,0,0,0,0,0,0,28.61,-80.6,9.7922,79.641,0,0,0,136.64,0.63782,0.016254,7.26E-05,52.325,0.0065558,128229,4.5586,3.87E-05,0.4864,0.006459,0.36477,0.0016216,0.12001,5.14E-05,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0059581
0.09,0.010728,0.63709,27.382,0.63709,27.382,0,0,0,0,0,0,28.61,-80.6,9.7922,74.029,0,0,0,136.58,0.58072,0.016254,7.26E-05,52.327,0.0068025,133054,5.0775,1.42E-04,0.48307,0.021987,0.36144,0.0016216,0.12001,8.16E-05,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0064208
0.1,0.018469,0.91106,28.938,0.91106,28.938,0,0,0,0,0,0,28.61,-80.6,9.7922,68.019,0,0,0,136.52,0.51317,0.016254,7.26E-05,52.329,0.0071508,139866,5.2876,3.75E-04,0.47863,0.052603,0.357,0.0016216,0.12001,1.17E-04,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0067756
# Event LIFTOFF occurred at t=0.11 seconds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.11,0.029027,1.2006,22.647,1.2006,22.647,0,0,0,0,0,0,28.61,-80.6,9.7922,61.768,0,0,0,136.44,0.4405,0.016254,7.26E-05,52.331,0.0074563,145842,4.4269,7.86E-04,0.47498,0.10143,0.35335,0.0016216,0.12001,1.54E-04,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0071542
0.12,0.042166,1.4272,17.167,1.4272,17.167,0,0,0,0,0,0,28.61,-80.6,9.7922,57.206,0,0,0,136.37,0.37264,0.016254,7.26E-05,52.333,0.0077413,151417,3.6778,0.0012314,0.47175,0.14746,0.35012,0.0016216,0.12001,1.83E-04,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0075672
0.13,0.057296,1.5989,14.479,1.5989,14.479,0,0,0,0,0,0,28.61,-80.6,9.7922,53.918,0,0,0,136.32,0.31583,0.016254,7.26E-05,52.335,0.0079759,156005,3.3103,0.0016436,0.46922,0.18541,0.34759,0.0016216,0.12001,2.05E-04,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0084376
0.14,0.07401,1.7438,13.566,1.7438,13.566,0,0,0,0,0,0,28.61,-80.6,9.7922,51.255,0,0,0,136.27,0.26664,0.016253,7.26E-05,52.336,0.0081855,160105,3.185,0.0020406,0.46703,0.21856,0.3454,0.0016216,0.12001,2.23E-04,5,19.635,90,0,NaN,15,1013.2,340.39,0.01,0.0091607
0.15,0.092126,1.8795,12.445,1.8795,12.445,0,0,0,0,0,0,28.61,-80.6,9.7922,48.868,0,0,0,136.22,0.22094,0.016253,7.26E-05,52.338,0.0083942,164186,3.0317,0.0024518,0.46494,0.24971,0.3433,0.0016216,0.12001,2.41E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.0097996
0.16,0.11154,2.004,11.466,2.004,11.466,0,0,0,0,0,0,28.61,-80.6,9.7922,46.741,0,0,0,136.18,0.17732,0.016253,7.26E-05,52.339,0.008591,168034,2.8978,0.0028626,0.46302,0.27835,0.34139,0.0016216,0.12001,2.57E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.01075
0.17,0.13216,2.1187,9.2815,2.1187,9.2815,0,0,0,0,0,0,28.61,-80.6,9.7922,44.843,0,0,0,136.14,0.13595,0.016253,7.26E-05,52.34,0.0087786,171704,2.5999,0.003268,0.46125,0.30433,0.33962,0.0016216,0.12001,2.71E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.011341
0.18,0.15381,2.2115,5.7676,2.2115,5.7676,0,0,0,0,0,0,28.61,-80.6,9.7922,43.308,0,0,0,136.1,0.097271,0.016253,7.26E-05,52.342,0.0089286,174638,2.1213,0.0036165,0.45987,0.32556,0.33824,0.0016216,0.12001,2.83E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.01186
0.19,0.17621,2.2692,1.8674,2.2692,1.8674,0,0,0,0,0,0,28.61,-80.6,9.7922,42.263,0,0,0,136.07,0.064608,0.016253,7.26E-05,52.343,0.0090082,176194,1.5903,0.0038468,0.45915,0.34021,0.33752,0.0016216,0.12001,2.91E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.012432
0.2,0.199,2.2879,-1.4659,2.2879,1.4659,0,0,0,0,0,0,28.61,-80.6,9.7922,41.717,0,0,0,136.04,0.039189,0.016253,7.26E-05,52.343,0.0090048,176128,1.1366,0.0039337,0.45918,0.34816,0.33755,0.0016216,0.12001,2.93E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.013246
0.21,0.2218,2.2733,-5.4954,2.2733,5.4954,0,0,0,0,0,0,28.61,-80.6,9.7922,42.119,0,0,0,136.02,0.019764,0.016253,7.26E-05,52.344,0.0090036,176105,0.58832,0.0038669,0.4592,0.34233,0.33756,0.0016216,0.12001,2.91E-04,5,19.635,90,0,NaN,14.999,1013.2,340.39,0.01,0.014344
