# Simulation 2 (Up to date)
# 436 data points written for 5 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Mach number (?)
# Event LAUNCH occurred at t=0 seconds
# Event IGNITION occurred at t=0 seconds
0,0,0,-3.8153,0.0062479
0.01,0,0,8.1103,0.0062572
0.02,4.0556e-4,0.081113,19.114,0.0062709
0.03,0.0021725,0.27228,29.674,0.0063265
0.04,0.0063793,0.56907,36.447,0.0065035
0.05,0.013893,0.93361,37.698,0.0068658
# Event LIFTOFF occurred at t=0.06 seconds
0.06,0.025114,1.3107,38.903,0.0073988
0.07,0.040166,1.6998,40.105,0.0080717
0.08,0.059169,2.1009,41.304,0.0088663
0.09,0.082243,2.5139,42.501,0.0097656
0.1,0.10951,2.939,43.696,0.010755
0.11,0.14108,3.3759,44.887,0.011766
0.12,0.17709,3.8248,46.077,0.012856
0.13,0.21764,4.2856,47.264,0.014018
0.14,0.26286,4.7582,48.434,0.015244
0.15,0.31286,5.2425,49.364,0.016528
0.16,0.36775,5.7361,50.213,0.017881
0.17,0.42762,6.2382,51.06,0.019272
0.18,0.49256,6.7488,51.906,0.020698
0.19,0.56264,7.2678,52.751,0.022158
0.2,0.63796,7.7952,53.595,0.02365
0.21,0.71859,8.3311,54.437,0.025178
0.22,0.80462,8.8754,55.277,0.026734
0.23,0.89614,9.4281,56.115,0.02832
0.24,0.99323,9.9892,56.951,0.029934
# Event LAUNCHROD occurred at t=0.25 seconds
0.25,1.096,10.559,57.785,0.031575
0.265,1.2609,11.428,59.248,0.034064
0.28537,1.506,12.638,61.07,0.037547
0.30456,1.7597,13.809,62.137,0.04093
0.32304,2.0256,14.957,63.122,0.044262
0.34122,2.3078,16.103,64.091,0.047598
0.35955,2.6138,17.277,63.752,0.051024
0.37854,2.9534,18.486,58.766,0.05456
0.39905,3.3448,19.684,48.934,0.05807
0.42298,3.8298,20.839,37.814,0.061461
0.45594,4.536,22.009,18.48,0.06491
0.50536,5.6454,22.867,11.438,0.067459
0.54827,6.637,23.357,9.3349,0.068911
0.5674,7.0856,23.541,8.9623,0.069467
0.58388,7.4748,23.688,8.3552,0.069918
0.59901,7.8342,23.815,7.795,0.070305
0.61338,8.1771,23.926,7.2749,0.070654
0.62746,8.5148,24.029,7.347,0.070976
0.64151,8.8531,24.132,8.2623,0.0713
0.65576,9.1979,24.249,8.1619,0.071666
0.67036,9.5527,24.368,7.5275,0.072032
0.68545,9.9214,24.482,6.8844,0.072382
0.70146,10.314,24.592,6.2109,0.072723
0.71913,10.75,24.702,5.8692,0.073083
0.74109,11.294,24.831,5.8512,0.073507
0.77404,12.115,25.025,5.7858,0.074117
0.82346,13.359,25.312,5.6256,0.074986
0.87083,14.564,25.579,5.4943,0.075761
0.89647,15.222,25.721,5.4395,0.076159
0.91947,15.815,25.846,5.3625,0.076521
0.94095,16.371,25.961,5.2848,0.076854
0.96206,16.92,26.072,5.2019,0.077174
0.98405,17.495,26.186,5.1084,0.077499
1.0087,18.141,26.311,4.9965,0.077864
1.0383,18.922,26.458,4.8529,0.078309
1.0781,19.981,26.649,4.6208,0.078887
1.1281,21.319,26.876,4.3183,0.079615
1.1781,22.668,27.089,4.0217,0.080306
